Cancer,Method,Stratification,Adjustment,Sex,Age,Database,rate,shape,scale,meanlog,sdlog,mu,sigma,Q,gamma0,gamma1,gamma2,SplineLowerB,SplineInternal1,SplineUpperB,gamma3,gamma4,SplineInternal2,SplineInternal3,sexMale,age_gr18 to 39,age_gr40 to 49,age_gr50 to 59,age_gr60 to 69,age_gr80 +
Breast,Gompertz,None,None,Both,All,CPRD_GOLD,-3.0523177733569224,-0.04602205252530724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.12423071875138819,-3.0130254031422092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Exponential,None,None,Both,All,CPRD_GOLD,-3.2494877901485264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,-0.034566331882339214,3.1148280859507533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,3.358642236352179,0.7182322828541472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,3.408927456759007,0.3429322348835846,0.6672226327273585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-2.7099297092315666,1.0958658538212052,0.007011371238029532,-5.8998973535824915,1.097698629399435,2.9539109213947063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breast,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-3.1752029240124284,0.9141667273436959,-0.0473885267079904,-5.8998973535824915,0.27388875031944504,2.9539109213947063,0.0911022808128406,-0.03958522174553508,1.097698629399435,1.7583301725788603,NA,NA,NA,NA,NA,NA
Colorectal,Gompertz,None,None,Both,All,CPRD_GOLD,-1.551526474150853,-0.18561694892153707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.40802348908257763,-1.5461775100763897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,Exponential,None,None,Both,All,CPRD_GOLD,-2.122878773536315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,-0.21581747892679523,1.7207128635324416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,1.75032294976972,0.7822376261499193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,1.83343269222127,0.7470989577760883,0.12396929069818403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
