trisk,df,logLik,AIC,BIC,Method,Cancer,Age,Sex,Stratification,Adjustment,Database
445377.30136986304,2,-73200.66616239586,146405.33232479173,146423.87018176066,Gompertz,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,2,-73229.48073266621,146462.96146533242,146481.49932230136,WeibullPH,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,1,-73422.64978058275,146847.2995611655,146856.56848964997,Exponential,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,2,-73187.2227849976,146378.4455699952,146396.98342696414,Log-logistic,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,2,-73453.37870434558,146910.75740869116,146929.2952656601,Log-normal,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,3,-73187.32636760983,146380.65273521966,146408.45952067303,Generalised Gamma,Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,3,-73189.80924062677,146385.61848125354,146413.4252667069,Spline (1 knot),Breast,All,Both,None,None,CPRD_GOLD
445377.30136986304,5,-73171.3840772467,146352.7681544934,146399.1127969157,Spline (3 knots),Breast,All,Both,None,None,CPRD_GOLD
179101.11232876714,2,-64277.99892464894,128559.99784929788,128577.45506036514,Gompertz,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,2,-63944.24279559501,127892.48559119002,127909.94280225728,WeibullPH,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,1,-66942.02927239837,133886.05854479675,133894.78715033038,Exponential,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,2,-63608.02418757135,127220.0483751427,127237.50558620995,Log-logistic,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,2,-63445.61949110864,126895.23898221728,126912.69619328454,Log-normal,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,3,-63434.8974142115,126875.794828423,126901.98064502388,Generalised Gamma,Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,3,-63452.40525547867,126910.81051095734,126936.99632755823,Spline (1 knot),Colorectal,All,Both,None,None,CPRD_GOLD
179101.11232876714,5,-63411.67365890372,126833.34731780743,126876.99034547558,Spline (3 knots),Colorectal,All,Both,None,None,CPRD_GOLD
43366.95890410959,2,-14573.97664999999,29151.95329999998,29166.50105678554,Gompertz,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,2,-14556.063938769355,29116.12787753871,29130.67563432427,WeibullPH,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,1,-14976.774273870215,29955.54854774043,29962.82242613321,Exponential,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,2,-14484.291729699633,28972.583459399266,28987.131216184825,Log-logistic,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,2,-14430.565454062351,28865.130908124702,28879.67866491026,Log-normal,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,3,-14430.31623274054,28866.63246548108,28888.454100659423,Generalised Gamma,Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,3,-14425.349089201549,28856.698178403098,28878.51981358144,Spline (1 knot),Head_and_neck,All,Both,None,None,CPRD_GOLD
43366.95890410959,5,-14403.78780616299,28817.57561232598,28853.945004289882,Spline (3 knots),Head_and_neck,All,Both,None,None,CPRD_GOLD
3954.7643835616436,2,-3060.087227543432,6124.174455086864,6136.195838165125,Gompertz,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,2,-3113.7912232076947,6231.582446415389,6243.60382949365,WeibullPH,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,1,-3554.173019160414,7110.346038320828,7116.356729859958,Exponential,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,2,-2990.0013621545722,5984.0027243091445,5996.024107387405,Log-logistic,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,2,-2972.0513672186644,5948.102734437329,5960.124117515589,Log-normal,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,3,-2971.2016202797463,5948.403240559493,5966.435315176884,Generalised Gamma,Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,3,-2976.81583887741,5959.63167775482,5977.663752372211,Spline (1 knot),Liver,All,Both,None,None,CPRD_GOLD
3954.7643835616436,5,-2969.7407530552164,5949.481506110433,5979.534963806084,Spline (3 knots),Liver,All,Both,None,None,CPRD_GOLD
44615.42465753425,2,-35566.87609931736,71137.75219863471,71154.69575838662,Gompertz,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,2,-36860.53928331804,73725.07856663608,73742.02212638798,WeibullPH,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,1,-41225.29937794425,82452.5987558885,82461.07053576445,Exponential,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,2,-34980.110019373955,69964.22003874791,69981.16359849981,Log-logistic,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,2,-34992.6915654792,69989.3831309584,70006.32669071031,Log-normal,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,3,-34992.15488508052,69990.30977016104,70015.7251097889,Generalised Gamma,Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,3,-34923.071098965884,69852.14219793177,69877.55753755962,Spline (1 knot),Lung,All,Both,None,None,CPRD_GOLD
44615.42465753425,5,-34844.81232120001,69699.62464240001,69741.98354177976,Spline (3 knots),Lung,All,Both,None,None,CPRD_GOLD
6904.035616438357,2,-5254.154956152948,10512.309912305896,10526.299001822545,Gompertz,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,2,-5790.548390208908,11585.096780417816,11599.085869934464,WeibullPH,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,1,-6904.02525555083,13810.05051110166,13817.045055859984,Exponential,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,2,-5124.330537387022,10252.661074774043,10266.650164290691,Log-logistic,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,2,-5144.588684757018,10293.177369514036,10307.166459030685,Log-normal,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,3,-5135.429206182407,10276.858412364814,10297.842046639787,Generalised Gamma,Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,3,-5100.59323215325,10207.1864643065,10228.170098581473,Spline (1 knot),Pancreatic,All,Both,None,None,CPRD_GOLD
6904.035616438357,5,-5088.748585615054,10187.497171230109,10222.469895021732,Spline (3 knots),Pancreatic,All,Both,None,None,CPRD_GOLD
277108.994520548,2,-66346.4667818845,132696.933563769,132714.85330498297,Gompertz,Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,2,-66342.54136883296,132689.0827376659,132707.00247887988,WeibullPH,Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,1,-66348.70994910577,132699.41989821155,132708.37976881853,Exponential,Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,2,-66450.31953845914,132904.63907691828,132922.55881813224,Log-logistic,Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,2,-66982.83678381023,133969.67356762046,133987.59330883442,Log-normal,Prostate,All,Male,None,None,CPRD_GOLD
