n,events,rmean,se,median,rmean in years (SE),Median Survival in Years (95% CI),rmean5yr,se5yr,rmean 5yrs in years (SE),rmean10yr,se10yr,rmean 10yrs in years (SE),Survival Rate % (95% CI) year 1,Survival Rate % (95% CI) year 5,Survival Rate % (95% CI) year 10,surv year 1,surv year 5,surv year 10,Method,Cancer,Age,Sex,Stratification,Adjustment,Database
78349,17278,14.1861,0.04073882405790948,NA,14.19 (0.04),NA,4.479404673156699,0.004702665999195961,4.48 (0.00),8.214325482950278,0.012669624410923041,8.21 (0.01),95.5 (95.3-95.6),80.8 (80.5-81.1),69.1 (68.7-69.6),95.4772,80.7795,69.1355,Kaplan-Meier,Breast,All,Both,None,None,CPRD_GOLD
45643,21436,8.7643,0.05519084677039892,5.9315,8.76 (0.06),5.93 (5.75-6.10),3.4091809638632795,0.00953086394091678,3.41 (0.01),5.703594559280256,0.02125686920162764,5.70 (0.02),79.5 (79.1-79.9),52.9 (52.4-53.4),39.9 (39.3-40.5),79.4774,52.8925,39.9293,Kaplan-Meier,Colorectal,All,Both,None,None,CPRD_GOLD
10656,4625,9.2548,0.11382615418221592,7.4849,9.25 (0.11),7.48 (6.97-7.90),3.5756375812703167,0.019186268883524437,3.58 (0.02),6.063802274169035,0.04369766407167701,6.06 (0.04),82.0 (81.2-82.7),57.3 (56.2-58.3),42.4 (41.1-43.7),81.9737,57.2761,42.358,Kaplan-Meier,Head_and_neck,All,Both,None,None,CPRD_GOLD
3013,2314,2.3949,0.09857974464645548,0.6877,2.39 (0.10),0.69 (0.63-0.75),1.4936397487164625,0.033790232798884136,1.49 (0.03),1.9828257472451483,0.061540189508929956,1.98 (0.06),41.7 (39.9-43.6),13.0 (11.6-14.6),7.6 (6.2-9.4),41.7269,13.026,7.6396,Kaplan-Meier,Liver,All,Both,None,None,CPRD_GOLD
35305,28394,2.2017,0.03210039127007735,0.6466,2.20 (0.03),0.65 (0.63-0.66),1.3679062890045328,0.009260989896613591,1.37 (0.01),1.7929904984809986,0.01664489513397912,1.79 (0.02),38.2 (37.7-38.7),11.5 (11.1-11.9),6.1 (5.8-6.6),38.173,11.5168,6.1409,Kaplan-Meier,Lung,All,Both,None,None,CPRD_GOLD
8059,6916,1.3663,0.044860464170157786,0.3808,1.37 (0.04),0.38 (0.37-0.40),0.9152920841733313,0.01565270462794405,0.92 (0.02),1.1560199112504044,0.027602190083097587,1.16 (0.03),25.4 (24.4-26.4),6.1 (5.5-6.8),4.0 (3.5-4.7),25.3701,6.1418,4.0297,Kaplan-Meier,Pancreatic,All,Both,None,None,CPRD_GOLD
57519,17685,11.217,0.056428327311602515,11.1233,11.22 (0.06),11.12 (10.95-11.31),4.259545871347527,0.006334307173877911,4.26 (0.01),7.400639115343279,0.016710460257632717,7.40 (0.02),93.7 (93.5-93.9),72.5 (72.1-73.0),54.0 (53.4-54.6),93.7176,72.5329,53.9732,Kaplan-Meier,Prostate,All,Male,None,None,CPRD_GOLD
6012,4726,3.1078,0.09081950190666227,0.7753,3.11 (0.09),0.78 (0.74-0.81),1.6088988600732574,0.024213832130495692,1.61 (0.02),2.2823337600742724,0.04561034227774515,2.28 (0.05),43.3 (42.1-44.6),16.9 (15.9-18.0),10.8 (9.8-11.9),43.328,16.895,10.8372,Kaplan-Meier,Stomach,All,Both,None,None,CPRD_GOLD
77904,17133,14.2021,0.04084124790596749,NA,14.20 (0.04),NA,4.480581082213511,0.004712298993679016,4.48 (0.00),8.219210543992078,0.012693763970329994,8.22 (0.01),95.5 (95.3-95.6),80.8 (80.5-81.1),69.2 (68.8-69.7),95.4839,80.8318,69.2285,Kaplan-Meier,Breast,All,Female,Sex,None,CPRD_GOLD
445,145,11.2771,0.5462060664244976,10.4164,11.28 (0.55),10.42 (8.96-11.81),4.268709644096483,0.07002562052670144,4.27 (0.07),7.333518642872293,0.18902716950336776,7.33 (0.19),94.3 (92.1-96.5),71.3 (66.6-76.4),52.3 (46.0-59.5),94.2935,71.3197,52.3227,Kaplan-Meier,Breast,All,Male,Sex,None,CPRD_GOLD
20408,9325,8.9678,0.08798289289238553,6.4658,8.97 (0.09),6.47 (6.19-6.73),3.4152444994260946,0.014396159689062604,3.42 (0.01),5.795319649926674,0.03203668841786665,5.80 (0.03),78.6 (78.0-79.2),54.1 (53.3-54.9),41.7 (40.8-42.7),78.6181,54.1024,41.7301,Kaplan-Meier,Colorectal,All,Female,Sex,None,CPRD_GOLD
25235,12111,8.5897,0.07140107057582991,5.526,8.59 (0.07),5.53 (5.33-5.76),3.4043713323387084,0.012712514426370381,3.40 (0.01),5.63061118588742,0.02838944620580223,5.63 (0.03),80.2 (79.7-80.7),51.9 (51.2-52.6),38.5 (37.7-39.3),80.1717,51.9216,38.5014,Kaplan-Meier,Colorectal,All,Male,Sex,None,CPRD_GOLD
3250,1346,9.8229,0.20362292364674328,8.3726,9.82 (0.20),8.37 (7.45-8.80),3.6418214833996285,0.03460912358755232,3.64 (0.03),6.231487267839995,0.0788713708015142,6.23 (0.08),81.9 (80.6-83.3),59.5 (57.6-61.5),43.9 (41.5-46.4),81.9372,59.5152,43.913,Kaplan-Meier,Head_and_neck,All,Female,Sex,None,CPRD_GOLD
7406,3279,8.985,0.13761875015383068,7.074,8.98 (0.14),7.07 (6.57-7.62),3.546689347774528,0.023042128957804126,3.55 (0.02),5.990386098280968,0.052458670798081315,5.99 (0.05),82.0 (81.1-82.9),56.3 (55.0-57.6),41.7 (40.1-43.3),81.9895,56.2985,41.6702,Kaplan-Meier,Head_and_neck,All,Male,Sex,None,CPRD_GOLD
835,633,2.4259,0.19008816670548573,0.611,2.43 (0.19),0.61 (0.55-0.69),1.4410035437921627,0.06606560641851217,1.44 (0.07),1.9570778938320574,0.11978823433679477,1.96 (0.12),38.2 (34.8-41.8),14.1 (11.5-17.3),8.1 (5.7-11.5),38.1512,14.0796,8.1024,Kaplan-Meier,Liver,All,Female,Sex,None,CPRD_GOLD
2178,1681,2.376,0.1156208024745378,0.7342,2.38 (0.12),0.73 (0.67-0.81),1.5131541251214242,0.039300106661331984,1.51 (0.04),1.9921602234911955,0.07172332550972696,1.99 (0.07),43.1 (40.9-45.3),12.6 (11.0-14.5),7.4 (5.8-9.6),43.0503,12.6203,7.4472,Kaplan-Meier,Liver,All,Male,Sex,None,CPRD_GOLD
16322,12680,2.5633,0.05301826823379781,0.7315,2.56 (0.05),0.73 (0.71-0.75),1.5132195598097244,0.014406610750702402,1.51 (0.01),2.031543025306621,0.02653268294229545,2.03 (0.03),41.9 (41.1-42.7),13.8 (13.2-14.5),7.7 (7.0-8.3),41.8572,13.8119,7.656,Kaplan-Meier,Lung,All,Female,Sex,None,CPRD_GOLD
18983,15714,1.893,0.039272373673665255,0.5836,1.89 (0.04),0.58 (0.57-0.60),1.243956431480634,0.011894084281344044,1.24 (0.01),1.5905543971919711,0.020842036720302336,1.59 (0.02),35.0 (34.3-35.7),9.6 (9.1-10.1),4.9 (4.4-5.4),35.0088,9.573,4.8744,Kaplan-Meier,Lung,All,Male,Sex,None,CPRD_GOLD
4100,3495,1.3547,0.06329882801733214,0.3671,1.35 (0.06),0.37 (0.35-0.39),0.9069861508732356,0.022188397721449666,0.91 (0.02),1.1484890537691272,0.03931992173303757,1.15 (0.04),24.7 (23.3-26.1),6.2 (5.3-7.1),4.0 (3.2-5.0),24.6776,6.1727,3.9906,Kaplan-Meier,Pancreatic,All,Female,Sex,None,CPRD_GOLD
3959,3421,1.3827,0.06370499457435443,0.3973,1.38 (0.06),0.40 (0.38-0.42),0.9244876444114211,0.02210146465739679,0.92 (0.02),1.1648341252030407,0.03880111118256255,1.16 (0.04),26.1 (24.7-27.6),6.1 (5.3-7.1),4.1 (3.3-5.0),26.0833,6.1197,4.0808,Kaplan-Meier,Pancreatic,All,Male,Sex,None,CPRD_GOLD
2223,1712,3.2326,0.16355366495372434,0.7479,3.23 (0.16),0.75 (0.69-0.82),1.641417648945262,0.04097499160951469,1.64 (0.04),2.378308454037423,0.07811949977520735,2.38 (0.08),43.3 (41.3-45.5),18.3 (16.6-20.2),12.1 (10.4-14.1),43.3479,18.2823,12.0932,Kaplan-Meier,Stomach,All,Female,Sex,None,CPRD_GOLD
3789,3014,3.0186,0.10944204494387771,0.7836,3.02 (0.11),0.78 (0.74-0.84),1.5904811589070185,0.029975356313588948,1.59 (0.03),2.2281639424563147,0.05604713478508784,2.23 (0.06),43.3 (41.7-45.0),16.1 (14.8-17.5),10.1 (9.0-11.5),43.3267,16.1028,10.1419,Kaplan-Meier,Stomach,All,Male,Sex,None,CPRD_GOLD
77904,17133,14.2021,0.04084124790596749,NA,14.20 (0.04),NA,4.480581082213511,0.004712298993679016,4.48 (0.00),8.219210543992078,0.012693763970329994,8.22 (0.01),95.5 (95.3-95.6),80.8 (80.5-81.1),69.2 (68.8-69.7),95.4839,80.8318,69.2285,Kaplan-Meier,Breast,All,Female,None,Sex,CPRD_GOLD
