"","trisk","df","logLik","AIC","BIC","Method","Cancer","Age","Sex","Database"
"1",445377,2,-73200.666,146405.332,146423.87,"Gompertz","Breast","All","Both","CPRD_GOLD"
"2",445377,2,-73229.481,146462.961,146481.499,"WeibullPH","Breast","All","Both","CPRD_GOLD"
"3",445377,1,-73422.65,146847.3,146856.568,"Exponential","Breast","All","Both","CPRD_GOLD"
"4",445377,2,-73187.223,146378.446,146396.983,"Log-logistic","Breast","All","Both","CPRD_GOLD"
"5",445377,2,-73453.379,146910.757,146929.295,"Log-normal","Breast","All","Both","CPRD_GOLD"
"6",445377,3,-73187.326,146380.653,146408.46,"Generalised Gamma","Breast","All","Both","CPRD_GOLD"
"7",445377,3,-73189.809,146385.618,146413.425,"Spline (1 knot)","Breast","All","Both","CPRD_GOLD"
"8",445377,5,-73171.384,146352.768,146399.113,"Spline (3 knots)","Breast","All","Both","CPRD_GOLD"
"9",179101,2,-64277.999,128559.998,128577.455,"Gompertz","Colorectal","All","Both","CPRD_GOLD"
"10",179101,2,-63944.243,127892.486,127909.943,"WeibullPH","Colorectal","All","Both","CPRD_GOLD"
"11",179101,1,-66942.029,133886.059,133894.787,"Exponential","Colorectal","All","Both","CPRD_GOLD"
"12",179101,2,-63608.024,127220.048,127237.506,"Log-logistic","Colorectal","All","Both","CPRD_GOLD"
"13",179101,2,-63445.619,126895.239,126912.696,"Log-normal","Colorectal","All","Both","CPRD_GOLD"
"14",179101,3,-63434.897,126875.795,126901.981,"Generalised Gamma","Colorectal","All","Both","CPRD_GOLD"
"15",179101,3,-63452.405,126910.811,126936.996,"Spline (1 knot)","Colorectal","All","Both","CPRD_GOLD"
"16",179101,5,-63411.674,126833.347,126876.99,"Spline (3 knots)","Colorectal","All","Both","CPRD_GOLD"
"17",43367,2,-14573.977,29151.953,29166.501,"Gompertz","Head_and_neck","All","Both","CPRD_GOLD"
"18",43367,2,-14556.064,29116.128,29130.676,"WeibullPH","Head_and_neck","All","Both","CPRD_GOLD"
"19",43367,1,-14976.774,29955.549,29962.822,"Exponential","Head_and_neck","All","Both","CPRD_GOLD"
"20",43367,2,-14484.292,28972.583,28987.131,"Log-logistic","Head_and_neck","All","Both","CPRD_GOLD"
"21",43367,2,-14430.565,28865.131,28879.679,"Log-normal","Head_and_neck","All","Both","CPRD_GOLD"
"22",43367,3,-14430.316,28866.632,28888.454,"Generalised Gamma","Head_and_neck","All","Both","CPRD_GOLD"
"23",43367,3,-14425.349,28856.698,28878.52,"Spline (1 knot)","Head_and_neck","All","Both","CPRD_GOLD"
"24",43367,5,-14403.788,28817.576,28853.945,"Spline (3 knots)","Head_and_neck","All","Both","CPRD_GOLD"
"25",3955,2,-3060.087,6124.174,6136.196,"Gompertz","Liver","All","Both","CPRD_GOLD"
"26",3955,2,-3113.791,6231.582,6243.604,"WeibullPH","Liver","All","Both","CPRD_GOLD"
"27",3955,1,-3554.173,7110.346,7116.357,"Exponential","Liver","All","Both","CPRD_GOLD"
"28",3955,2,-2990.001,5984.003,5996.024,"Log-logistic","Liver","All","Both","CPRD_GOLD"
"29",3955,2,-2972.051,5948.103,5960.124,"Log-normal","Liver","All","Both","CPRD_GOLD"
"30",3955,3,-2971.202,5948.403,5966.435,"Generalised Gamma","Liver","All","Both","CPRD_GOLD"
"31",3955,3,-2976.816,5959.632,5977.664,"Spline (1 knot)","Liver","All","Both","CPRD_GOLD"
