"time","n.risk","n.event","n.censor","est","std.error","ucl","lcl","Method","Cancer","Age","Gender"
0.003,110705,12,49,0.99989,3.12929802457664e-05,0.99995,0.99983,"Observed","BreastCancer","All","Both"
0.003,71983,46,21,0.99936,9.42513942406991e-05,0.99955,0.99918,"Observed","ColorectalCancer","All","Both"
0.003,15683,4,6,0.99974,0.000127542887332899,0.99999,0.9995,"Observed","HeadNeckCancer","All","Both"
0.003,5705,8,2,0.9986,0.000496128367118865,0.99957,0.99763,"Observed","LiverCancer","All","Both"
0.003,68373,153,36,0.99776,0.000181112130731479,0.99812,0.99741,"Observed","LungCancer","All","Both"
0.003,15236,55,17,0.99639,0.000487635901704363,0.99734,0.99544,"Observed","PancreaticCancer","All","Both"
0.003,95855,10,32,0.9999,3.29919422480013e-05,0.99996,0.99983,"Observed","ProstateCancer","All","Both"
0.003,9840,18,6,0.99817,0.000431557569420562,0.99902,0.99733,"Observed","StomachCancer","All","Both"
0.005,110644,10,7,0.9998,4.23813415953852e-05,0.99988,0.99972,"Observed","BreastCancer","All","Both"
0.005,71916,49,18,0.99868,0.000135513981553746,0.99895,0.99841,"Observed","ColorectalCancer","All","Both"
0.005,15673,4,2,0.99949,0.000180430440124418,0.99984,0.99914,"Observed","HeadNeckCancer","All","Both"
0.005,5695,15,5,0.99597,0.000842529687953876,0.99761,0.99432,"Observed","LiverCancer","All","Both"
0.005,68184,191,32,0.99497,0.000272030522498493,0.9955,0.99444,"Observed","LungCancer","All","Both"
0.005,15164,59,9,0.99251,0.000703826651998946,0.99388,0.99115,"Observed","PancreaticCancer","All","Both"
0.005,95813,10,9,0.99979,4.66678801117787e-05,0.99988,0.9997,"Observed","ProstateCancer","All","Both"
0.005,9816,15,3,0.99665,0.000584941337986479,0.99779,0.9955,"Observed","StomachCancer","All","Both"
0.008,110627,14,13,0.99967,5.42242522926972e-05,0.99978,0.99957,"Observed","BreastCancer","All","Both"
0.008,71849,52,21,0.99796,0.000168654693353887,0.99829,0.99763,"Observed","ColorectalCancer","All","Both"
0.008,15667,3,1,0.9993,0.000211612120777253,0.99971,0.99888,"Observed","HeadNeckCancer","All","Both"
0.008,5675,23,2,0.99193,0.00119453899398711,0.99426,0.98961,"Observed","LiverCancer","All","Both"
0.008,67961,175,26,0.99241,0.000334645920969702,0.99306,0.99175,"Observed","LungCancer","All","Both"
0.008,15096,63,11,0.98837,0.000879193160167601,0.99008,0.98667,"Observed","PancreaticCancer","All","Both"
0.008,95794,16,8,0.99962,6.26240231680003e-05,0.99975,0.9995,"Observed","ProstateCancer","All","Both"
