"time","est","lcl","ucl","Method","Cancer","Age","Gender","matchid","time2","absDiff"
0,0.04428,0.04334,0.04524,"Gompertz","BreastCancer","All","Both",1,0,0.00274
0.167,0.04393,0.04303,0.04486,"Gompertz","BreastCancer","All","Both",2,0.166666666666667,0.000453333333333333
0.333,0.04358,0.04272,0.04447,"Gompertz","BreastCancer","All","Both",3,0.333333333333333,0.000916666666666677
0.5,0.04323,0.0424,0.0441,"Gompertz","BreastCancer","All","Both",4,0.5,0.00136999999999998
0.5,0.04323,0.0424,0.04409,"Gompertz","BreastCancer","All","Both",4,0.5,0.00136999999999998
0.667,0.04288,0.04209,0.04373,"Gompertz","BreastCancer","All","Both",5,0.666666666666667,0.000916666666666677
0.833,0.04254,0.04178,0.04334,"Gompertz","BreastCancer","All","Both",6,0.833333333333333,0.000453333333333306
1,0.0422,0.04147,0.04297,"Gompertz","BreastCancer","All","Both",7,1,0
1.167,0.04186,0.04116,0.0426,"Gompertz","BreastCancer","All","Both",8,1.16666666666667,0.000453333333333417
1.333,0.04152,0.04086,0.04223,"Gompertz","BreastCancer","All","Both",9,1.33333333333333,0.000916666666666677
1.5,0.04119,0.04056,0.04188,"Gompertz","BreastCancer","All","Both",10,1.5,0.00137000000000009
1.5,0.04119,0.04055,0.04187,"Gompertz","BreastCancer","All","Both",10,1.5,0.00137000000000009
1.667,0.04086,0.04026,0.04152,"Gompertz","BreastCancer","All","Both",11,1.66666666666667,0.000916666666666455
1.833,0.04053,0.03995,0.04117,"Gompertz","BreastCancer","All","Both",12,1.83333333333333,0.000453333333333195
2,0.04021,0.03964,0.04081,"Gompertz","BreastCancer","All","Both",13,2,0
2.167,0.03988,0.03933,0.04047,"Gompertz","BreastCancer","All","Both",14,2.16666666666667,0.000453333333333639
2.333,0.03956,0.03901,0.04014,"Gompertz","BreastCancer","All","Both",15,2.33333333333333,0.000916666666666899
2.5,0.03925,0.03871,0.03981,"Gompertz","BreastCancer","All","Both",16,2.5,0.00137000000000009
2.5,0.03924,0.0387,0.03981,"Gompertz","BreastCancer","All","Both",16,2.5,0.00137000000000009
2.667,0.03893,0.0384,0.0395,"Gompertz","BreastCancer","All","Both",17,2.66666666666667,0.000916666666666455
2.833,0.03862,0.0381,0.03917,"Gompertz","BreastCancer","All","Both",18,2.83333333333333,0.000453333333333195
3,0.03831,0.0378,0.03885,"Gompertz","BreastCancer","All","Both",19,3,0
3.167,0.038,0.03749,0.03853,"Gompertz","BreastCancer","All","Both",20,3.16666666666667,0.000453333333333639
3.333,0.03769,0.03719,0.03823,"Gompertz","BreastCancer","All","Both",21,3.33333333333333,0.000916666666666899
3.5,0.0374,0.0369,0.03791,"Gompertz","BreastCancer","All","Both",22,3.5,0.00137000000000009
3.5,0.03739,0.03689,0.03791,"Gompertz","BreastCancer","All","Both",22,3.5,0.00137000000000009
3.667,0.03709,0.03661,0.03761,"Gompertz","BreastCancer","All","Both",23,3.66666666666667,0.000916666666666455
3.833,0.0368,0.03632,0.03731,"Gompertz","BreastCancer","All","Both",24,3.83333333333333,0.000453333333333195
4,0.0365,0.03602,0.03701,"Gompertz","BreastCancer","All","Both",25,4,0
4.167,0.03621,0.03571,0.03672,"Gompertz","BreastCancer","All","Both",26,4.16666666666667,0.000453333333333639
4.333,0.03592,0.03542,0.03644,"Gompertz","BreastCancer","All","Both",27,4.33333333333333,0.000916666666666899
4.5,0.03563,0.03513,0.03618,"Gompertz","BreastCancer","All","Both",28,4.5,0.00136999999999965
4.5,0.03563,0.03513,0.03617,"Gompertz","BreastCancer","All","Both",28,4.5,0.00136999999999965
4.667,0.03534,0.03485,0.03589,"Gompertz","BreastCancer","All","Both",29,4.66666666666667,0.000916666666666011
4.833,0.03506,0.03456,0.03558,"Gompertz","BreastCancer","All","Both",30,4.83333333333333,0.00045333333333275
5,0.03478,0.03426,0.03532,"Gompertz","BreastCancer","All","Both",31,5,0
5.167,0.0345,0.03397,0.03504,"Gompertz","BreastCancer","All","Both",32,5.16666666666667,0.000453333333333639
5.333,0.03422,0.03369,0.03479,"Gompertz","BreastCancer","All","Both",33,5.33333333333333,0.000916666666666899
5.5,0.03395,0.03342,0.03453,"Gompertz","BreastCancer","All","Both",34,5.5,0.00136999999999965
5.5,0.03395,0.03341,0.03452,"Gompertz","BreastCancer","All","Both",34,5.5,0.00136999999999965
5.667,0.03368,0.03313,0.03426,"Gompertz","BreastCancer","All","Both",35,5.66666666666667,0.000916666666666011
5.833,0.03341,0.03285,0.03402,"Gompertz","BreastCancer","All","Both",36,5.83333333333333,0.00045333333333275
6,0.03314,0.03257,0.03375,"Gompertz","BreastCancer","All","Both",37,6,0
6.167,0.03287,0.0323,0.03349,"Gompertz","BreastCancer","All","Both",38,6.16666666666667,0.000453333333333639
6.333,0.03261,0.03202,0.03324,"Gompertz","BreastCancer","All","Both",39,6.33333333333333,0.000916666666666899
6.5,0.03235,0.03175,0.03298,"Gompertz","BreastCancer","All","Both",40,6.5,0.00136999999999965
6.5,0.03234,0.03175,0.03298,"Gompertz","BreastCancer","All","Both",40,6.5,0.00136999999999965
6.667,0.03209,0.03148,0.03273,"Gompertz","BreastCancer","All","Both",41,6.66666666666667,0.000916666666666011
6.833,0.03183,0.0312,0.03249,"Gompertz","BreastCancer","All","Both",42,6.83333333333333,0.00045333333333275
7,0.03157,0.03093,0.03225,"Gompertz","BreastCancer","All","Both",43,7,0
7.167,0.03132,0.03066,0.03202,"Gompertz","BreastCancer","All","Both",44,7.16666666666667,0.000453333333333639
7.333,0.03107,0.03038,0.03178,"Gompertz","BreastCancer","All","Both",45,7.33333333333333,0.000916666666666899
7.5,0.03082,0.03012,0.03153,"Gompertz","BreastCancer","All","Both",46,7.5,0.00136999999999965
7.5,0.03082,0.03012,0.03153,"Gompertz","BreastCancer","All","Both",46,7.5,0.00136999999999965
7.667,0.03057,0.02986,0.03131,"Gompertz","BreastCancer","All","Both",47,7.66666666666667,0.000916666666666011
7.833,0.03033,0.0296,0.03108,"Gompertz","BreastCancer","All","Both",48,7.83333333333333,0.00045333333333275
8,0.03008,0.02934,0.03085,"Gompertz","BreastCancer","All","Both",49,8,0
8.167,0.02984,0.02908,0.03061,"Gompertz","BreastCancer","All","Both",50,8.16666666666667,0.000453333333334527
8.333,0.0296,0.02883,0.03039,"Gompertz","BreastCancer","All","Both",51,8.33333333333333,0.000916666666668675
8.5,0.02937,0.02858,0.03016,"Gompertz","BreastCancer","All","Both",52,8.5,0.00136999999999965
8.5,0.02936,0.02857,0.03016,"Gompertz","BreastCancer","All","Both",52,8.5,0.00136999999999965
8.667,0.02913,0.02832,0.02993,"Gompertz","BreastCancer","All","Both",53,8.66666666666667,0.000916666666666899
8.833,0.0289,0.02807,0.02971,"Gompertz","BreastCancer","All","Both",54,8.83333333333333,0.00045333333333275
9,0.02866,0.02782,0.02948,"Gompertz","BreastCancer","All","Both",55,9,0
9.167,0.02843,0.02758,0.02926,"Gompertz","BreastCancer","All","Both",56,9.16666666666667,0.000453333333334527
9.333,0.0282,0.02733,0.02904,"Gompertz","BreastCancer","All","Both",57,9.33333333333333,0.000916666666668675
9.5,0.02798,0.02709,0.02883,"Gompertz","BreastCancer","All","Both",58,9.5,0.00136999999999965
9.5,0.02798,0.02709,0.02883,"Gompertz","BreastCancer","All","Both",58,9.5,0.00136999999999965
9.667,0.02776,0.02685,0.02863,"Gompertz","BreastCancer","All","Both",59,9.66666666666667,0.000916666666666899
9.833,0.02753,0.02662,0.02842,"Gompertz","BreastCancer","All","Both",60,9.83333333333333,0.00045333333333275
10,0.02731,0.02638,0.02821,"Gompertz","BreastCancer","All","Both",61,10,0
10.167,0.02709,0.02615,0.028,"Gompertz","BreastCancer","All","Both",62,10.1666666666667,0.000453333333334527
10.333,0.02687,0.02592,0.02779,"Gompertz","BreastCancer","All","Both",63,10.3333333333333,0.000916666666668675
10.5,0.02666,0.02569,0.02759,"Gompertz","BreastCancer","All","Both",64,10.5,0.00136999999999965
10.5,0.02666,0.02569,0.02759,"Gompertz","BreastCancer","All","Both",64,10.5,0.00136999999999965
10.667,0.02645,0.02546,0.02739,"Gompertz","BreastCancer","All","Both",65,10.6666666666667,0.000916666666666899
10.833,0.02623,0.02524,0.0272,"Gompertz","BreastCancer","All","Both",66,10.8333333333333,0.00045333333333275
11,0.02602,0.02501,0.027,"Gompertz","BreastCancer","All","Both",67,11,0
11.167,0.02581,0.02479,0.02681,"Gompertz","BreastCancer","All","Both",68,11.1666666666667,0.000453333333334527
11.333,0.02561,0.02457,0.02662,"Gompertz","BreastCancer","All","Both",69,11.3333333333333,0.000916666666668675
11.5,0.0254,0.02436,0.02642,"Gompertz","BreastCancer","All","Both",70,11.5,0.00136999999999965
11.5,0.0254,0.02436,0.02642,"Gompertz","BreastCancer","All","Both",70,11.5,0.00136999999999965
11.667,0.0252,0.02414,0.02623,"Gompertz","BreastCancer","All","Both",71,11.6666666666667,0.000916666666666899
11.833,0.025,0.02393,0.02604,"Gompertz","BreastCancer","All","Both",72,11.8333333333333,0.00045333333333275
12,0.02479,0.02372,0.02584,"Gompertz","BreastCancer","All","Both",73,12,0
12.167,0.02459,0.02351,0.02565,"Gompertz","BreastCancer","All","Both",74,12.1666666666667,0.000453333333334527
12.333,0.0244,0.0233,0.02546,"Gompertz","BreastCancer","All","Both",75,12.3333333333333,0.000916666666668675
12.5,0.0242,0.0231,0.02527,"Gompertz","BreastCancer","All","Both",76,12.5,0.00136999999999965
12.5,0.0242,0.02309,0.02527,"Gompertz","BreastCancer","All","Both",76,12.5,0.00136999999999965
12.667,0.02401,0.02289,0.02509,"Gompertz","BreastCancer","All","Both",77,12.6666666666667,0.000916666666666899
12.833,0.02382,0.02269,0.02491,"Gompertz","BreastCancer","All","Both",78,12.8333333333333,0.00045333333333275
13,0.02362,0.02249,0.02473,"Gompertz","BreastCancer","All","Both",79,13,0
13.167,0.02343,0.02229,0.02455,"Gompertz","BreastCancer","All","Both",80,13.1666666666667,0.000453333333334527
13.333,0.02325,0.0221,0.02437,"Gompertz","BreastCancer","All","Both",81,13.3333333333333,0.000916666666668675
