"time","est","lcl","ucl","Method","Cancer","Age","Gender"
0.003,0.05606,0.0526,0.05976,"Observed","BreastCancer","All","Both"
0.003,0.4113,0.39781,0.42524,"Observed","ColorectalCancer","All","Both"
0.003,0.23531,0.21879,0.25308,"Observed","HeadNeckCancer","All","Both"
0.003,1.51647,1.42242,1.61674,"Observed","LiverCancer","All","Both"
0.003,1.47166,1.44328,1.5006,"Observed","LungCancer","All","Both"
0.003,2.27709,2.20295,2.35371,"Observed","PancreaticCancer","All","Both"
0.003,0.06187,0.05809,0.06591,"Observed","ProstateCancer","All","Both"
0.003,1.139,1.08659,1.19393,"Observed","StomachCancer","All","Both"
0.005,0.05595,0.05251,0.05961,"Observed","BreastCancer","All","Both"
0.005,0.40974,0.3964,0.42352,"Observed","ColorectalCancer","All","Both"
0.005,0.23519,0.21876,0.25284,"Observed","HeadNeckCancer","All","Both"
0.005,1.50963,1.41668,1.60867,"Observed","LiverCancer","All","Both"
0.005,1.46635,1.4383,1.49494,"Observed","LungCancer","All","Both"
0.005,2.26907,2.19577,2.34482,"Observed","PancreaticCancer","All","Both"
0.005,0.06183,0.05807,0.06583,"Observed","ProstateCancer","All","Both"
0.005,1.13639,1.0844,1.19087,"Observed","StomachCancer","All","Both"
0.008,0.05583,0.05242,0.05946,"Observed","BreastCancer","All","Both"
0.008,0.40819,0.395,0.42181,"Observed","ColorectalCancer","All","Both"
0.008,0.23506,0.21873,0.2526,"Observed","HeadNeckCancer","All","Both"
0.008,1.50281,1.41096,1.60065,"Observed","LiverCancer","All","Both"
0.008,1.46105,1.43333,1.4893,"Observed","LungCancer","All","Both"
0.008,2.26109,2.18861,2.33597,"Observed","PancreaticCancer","All","Both"
0.008,0.06179,0.05805,0.06576,"Observed","ProstateCancer","All","Both"
0.008,1.13379,1.08221,1.18783,"Observed","StomachCancer","All","Both"
0.011,0.05572,0.05234,0.05932,"Observed","BreastCancer","All","Both"
0.011,0.40664,0.39361,0.42011,"Observed","ColorectalCancer","All","Both"
0.011,0.23493,0.2187,0.25237,"Observed","HeadNeckCancer","All","Both"
0.011,1.49603,1.40525,1.59266,"Observed","LiverCancer","All","Both"
0.011,1.45577,1.42838,1.48369,"Observed","LungCancer","All","Both"
0.011,2.25313,2.18147,2.32715,"Observed","PancreaticCancer","All","Both"
0.011,0.06174,0.05803,0.06569,"Observed","ProstateCancer","All","Both"
0.011,1.1312,1.08003,1.18479,"Observed","StomachCancer","All","Both"
0.014,0.0556,0.05225,0.05917,"Observed","BreastCancer","All","Both"
0.014,0.4051,0.39221,0.41842,"Observed","ColorectalCancer","All","Both"
0.014,0.23481,0.21867,0.25213,"Observed","HeadNeckCancer","All","Both"
0.014,1.48927,1.39957,1.58472,"Observed","LiverCancer","All","Both"
0.014,1.45051,1.42344,1.47809,"Observed","LungCancer","All","Both"
0.014,2.2452,2.17435,2.31836,"Observed","PancreaticCancer","All","Both"
0.014,0.0617,0.05802,0.06562,"Observed","ProstateCancer","All","Both"
0.014,1.12861,1.07784,1.18176,"Observed","StomachCancer","All","Both"
0.016,0.05549,0.05217,0.05902,"Observed","BreastCancer","All","Both"
0.016,0.40357,0.39083,0.41673,"Observed","ColorectalCancer","All","Both"
0.016,0.23468,0.21864,0.25189,"Observed","HeadNeckCancer","All","Both"
0.016,1.48255,1.39391,1.57683,"Observed","LiverCancer","All","Both"
0.016,1.44527,1.41852,1.47252,"Observed","LungCancer","All","Both"
0.016,2.2373,2.16724,2.30962,"Observed","PancreaticCancer","All","Both"
0.016,0.06166,0.058,0.06555,"Observed","ProstateCancer","All","Both"
0.016,1.12603,1.07567,1.17875,"Observed","StomachCancer","All","Both"
0.019,0.05538,0.05208,0.05888,"Observed","BreastCancer","All","Both"
0.019,0.40204,0.38944,0.41505,"Observed","ColorectalCancer","All","Both"
0.019,0.23455,0.21861,0.25166,"Observed","HeadNeckCancer","All","Both"
0.019,1.47586,1.38826,1.56897,"Observed","LiverCancer","All","Both"
0.019,1.44005,1.41362,1.46697,"Observed","LungCancer","All","Both"
0.019,2.22943,2.16016,2.30091,"Observed","PancreaticCancer","All","Both"
0.019,0.06161,0.05798,0.06547,"Observed","ProstateCancer","All","Both"
0.019,1.12345,1.07349,1.17574,"Observed","StomachCancer","All","Both"
0.022,0.05526,0.05199,0.05873,"Observed","BreastCancer","All","Both"
0.022,0.40052,0.38807,0.41337,"Observed","ColorectalCancer","All","Both"
0.022,0.23443,0.21858,0.25142,"Observed","HeadNeckCancer","All","Both"
0.022,1.46919,1.38264,1.56116,"Observed","LiverCancer","All","Both"
0.022,1.43485,1.40873,1.46145,"Observed","LungCancer","All","Both"
0.022,2.22158,2.1531,2.29223,"Observed","PancreaticCancer","All","Both"
0.022,0.06157,0.05797,0.0654,"Observed","ProstateCancer","All","Both"
0.022,1.12088,1.07132,1.17274,"Observed","StomachCancer","All","Both"
0.025,0.05515,0.05191,0.05859,"Observed","BreastCancer","All","Both"
0.025,0.399,0.38669,0.41171,"Observed","ColorectalCancer","All","Both"
0.025,0.2343,0.21854,0.25119,"Observed","HeadNeckCancer","All","Both"
0.025,1.46256,1.37703,1.5534,"Observed","LiverCancer","All","Both"
0.025,1.42966,1.40386,1.45594,"Observed","LungCancer","All","Both"
0.025,2.21376,2.14606,2.2836,"Observed","PancreaticCancer","All","Both"
0.025,0.06153,0.05795,0.06533,"Observed","ProstateCancer","All","Both"
0.025,1.11832,1.06915,1.16974,"Observed","StomachCancer","All","Both"
0.027,0.05503,0.05182,0.05845,"Observed","BreastCancer","All","Both"
0.027,0.39749,0.38532,0.41005,"Observed","ColorectalCancer","All","Both"
0.027,0.23417,0.21851,0.25096,"Observed","HeadNeckCancer","All","Both"
0.027,1.45596,1.37145,1.54567,"Observed","LiverCancer","All","Both"
0.027,1.4245,1.399,1.45046,"Observed","LungCancer","All","Both"
0.027,2.20597,2.13904,2.27499,"Observed","PancreaticCancer","All","Both"
0.027,0.06149,0.05793,0.06526,"Observed","ProstateCancer","All","Both"
0.027,1.11576,1.06698,1.16676,"Observed","StomachCancer","All","Both"
0.03,0.05492,0.05174,0.0583,"Observed","BreastCancer","All","Both"
0.03,0.39599,0.38396,0.40839,"Observed","ColorectalCancer","All","Both"
0.03,0.23405,0.21848,0.25072,"Observed","HeadNeckCancer","All","Both"
0.03,1.44938,1.36588,1.53799,"Observed","LiverCancer","All","Both"
0.03,1.41935,1.39416,1.445,"Observed","LungCancer","All","Both"
0.03,2.19821,2.13204,2.26643,"Observed","PancreaticCancer","All","Both"
0.03,0.06144,0.05792,0.06519,"Observed","ProstateCancer","All","Both"
0.03,1.1132,1.06482,1.16379,"Observed","StomachCancer","All","Both"
0.033,0.05481,0.05165,0.05816,"Observed","BreastCancer","All","Both"
0.033,0.39449,0.3826,0.40675,"Observed","ColorectalCancer","All","Both"
0.033,0.23392,0.21845,0.25049,"Observed","HeadNeckCancer","All","Both"
0.033,1.44284,1.36033,1.53035,"Observed","LiverCancer","All","Both"
0.033,1.41422,1.38934,1.43956,"Observed","LungCancer","All","Both"
0.033,2.19047,2.12506,2.2579,"Observed","PancreaticCancer","All","Both"
0.033,0.0614,0.0579,0.06512,"Observed","ProstateCancer","All","Both"
0.033,1.11066,1.06266,1.16082,"Observed","StomachCancer","All","Both"
0.036,0.0547,0.05157,0.05801,"Observed","BreastCancer","All","Both"
0.036,0.393,0.38124,0.40511,"Observed","ColorectalCancer","All","Both"
0.036,0.23379,0.21841,0.25026,"Observed","HeadNeckCancer","All","Both"
0.036,1.43632,1.3548,1.52275,"Observed","LiverCancer","All","Both"
0.036,1.40911,1.38453,1.43414,"Observed","LungCancer","All","Both"
0.036,2.18276,2.11809,2.2494,"Observed","PancreaticCancer","All","Both"
0.036,0.06136,0.05788,0.06504,"Observed","ProstateCancer","All","Both"
0.036,1.10811,1.0605,1.15787,"Observed","StomachCancer","All","Both"
0.038,0.05458,0.05148,0.05787,"Observed","BreastCancer","All","Both"
0.038,0.39151,0.37989,0.40348,"Observed","ColorectalCancer","All","Both"
0.038,0.23367,0.21838,0.25003,"Observed","HeadNeckCancer","All","Both"
0.038,1.42984,1.34929,1.5152,"Observed","LiverCancer","All","Both"
0.038,1.40402,1.37973,1.42874,"Observed","LungCancer","All","Both"
0.038,2.17508,2.11115,2.24095,"Observed","PancreaticCancer","All","Both"
0.038,0.06132,0.05786,0.06497,"Observed","ProstateCancer","All","Both"
0.038,1.10558,1.05835,1.15492,"Observed","StomachCancer","All","Both"
0.041,0.05447,0.0514,0.05773,"Observed","BreastCancer","All","Both"
0.041,0.39003,0.37854,0.40185,"Observed","ColorectalCancer","All","Both"
0.041,0.23354,0.21835,0.24979,"Observed","HeadNeckCancer","All","Both"
0.041,1.42338,1.3438,1.50768,"Observed","LiverCancer","All","Both"
0.041,1.39895,1.37495,1.42337,"Observed","LungCancer","All","Both"
0.041,2.16743,2.10423,2.23252,"Observed","PancreaticCancer","All","Both"
0.041,0.06127,0.05785,0.0649,"Observed","ProstateCancer","All","Both"
0.041,1.10305,1.0562,1.15198,"Observed","StomachCancer","All","Both"
0.044,0.05436,0.05131,0.05759,"Observed","BreastCancer","All","Both"
0.044,0.38855,0.3772,0.40024,"Observed","ColorectalCancer","All","Both"
0.044,0.23342,0.21831,0.24956,"Observed","HeadNeckCancer","All","Both"
0.044,1.41696,1.33833,1.50021,"Observed","LiverCancer","All","Both"
0.044,1.3939,1.37019,1.41801,"Observed","LungCancer","All","Both"
0.044,2.1598,2.09732,2.22414,"Observed","PancreaticCancer","All","Both"
0.044,0.06123,0.05783,0.06483,"Observed","ProstateCancer","All","Both"
0.044,1.10053,1.05405,1.14905,"Observed","StomachCancer","All","Both"
0.047,0.05425,0.05123,0.05745,"Observed","BreastCancer","All","Both"
