"time","est","lcl","ucl","Method","Cancer","Age","Gender","matchid","time2","absDiff"
0,1,1,1,"Gompertz","BreastCancer","All","Both",1,0,0
0.167,0.99266,0.9925,0.99281,"Gompertz","BreastCancer","All","Both",2,0.166666666666667,0.000453333333333333
0.333,0.98542,0.98511,0.98572,"Gompertz","BreastCancer","All","Both",3,0.333333333333333,0.000916666666666677
0.5,0.97842,0.97796,0.97885,"Gompertz","BreastCancer","All","Both",4,0.5,0.00136999999999998
0.5,0.9783,0.97784,0.97873,"Gompertz","BreastCancer","All","Both",4,0.5,0.00136999999999998
0.667,0.9714,0.97081,0.97196,"Gompertz","BreastCancer","All","Both",5,0.666666666666667,0.000916666666666677
0.833,0.96449,0.96378,0.96517,"Gompertz","BreastCancer","All","Both",6,0.833333333333333,0.000453333333333306
1,0.95769,0.95686,0.95848,"Gompertz","BreastCancer","All","Both",7,1,0
1.167,0.95099,0.95004,0.95188,"Gompertz","BreastCancer","All","Both",8,1.16666666666667,0.000453333333333417
1.333,0.94438,0.94332,0.94537,"Gompertz","BreastCancer","All","Both",9,1.33333333333333,0.000916666666666677
1.5,0.93798,0.93683,0.93907,"Gompertz","BreastCancer","All","Both",10,1.5,0.00137000000000009
1.5,0.93788,0.93672,0.93897,"Gompertz","BreastCancer","All","Both",10,1.5,0.00137000000000009
1.667,0.93158,0.93032,0.93275,"Gompertz","BreastCancer","All","Both",11,1.66666666666667,0.000916666666666455
1.833,0.92526,0.92392,0.92654,"Gompertz","BreastCancer","All","Both",12,1.83333333333333,0.000453333333333195
2,0.91904,0.91762,0.92041,"Gompertz","BreastCancer","All","Both",13,2,0
2.167,0.91291,0.9114,0.91436,"Gompertz","BreastCancer","All","Both",14,2.16666666666667,0.000453333333333639
2.333,0.90687,0.90528,0.90838,"Gompertz","BreastCancer","All","Both",15,2.33333333333333,0.000916666666666899
2.5,0.90102,0.89935,0.90262,"Gompertz","BreastCancer","All","Both",16,2.5,0.00137000000000009
2.5,0.90092,0.89926,0.90252,"Gompertz","BreastCancer","All","Both",16,2.5,0.00137000000000009
2.667,0.89515,0.89341,0.89684,"Gompertz","BreastCancer","All","Both",17,2.66666666666667,0.000916666666666455
2.833,0.88937,0.88758,0.89113,"Gompertz","BreastCancer","All","Both",18,2.83333333333333,0.000453333333333195
3,0.88367,0.88183,0.8855,"Gompertz","BreastCancer","All","Both",19,3,0
3.167,0.87805,0.87618,0.87995,"Gompertz","BreastCancer","All","Both",20,3.16666666666667,0.000453333333333639
