time,est,lcl,ucl,Method,Cancer,Age,Gender
0.002739726,0.05606287,0.052595082,0.059759303,Observed,BreastCancer,All,Both
0.005479452,0.05594764,0.052508943,0.059611531,Observed,BreastCancer,All,Both
0.008219178,0.055832647,0.052422882,0.059464195,Observed,BreastCancer,All,Both
0.010958904,0.055717891,0.0523369,0.059317296,Observed,BreastCancer,All,Both
0.01369863,0.05560337,0.052250993,0.059170833,Observed,BreastCancer,All,Both
0.016438356,0.055489085,0.052165162,0.059024805,Observed,BreastCancer,All,Both
0.019178082,0.055375034,0.052079404,0.058879215,Observed,BreastCancer,All,Both
0.021917808,0.055261218,0.051993719,0.05873406,Observed,BreastCancer,All,Both
0.024657534,0.055147636,0.051908106,0.058589342,Observed,BreastCancer,All,Both
0.02739726,0.055034287,0.051822563,0.05844506,Observed,BreastCancer,All,Both
0.030136986,0.054921172,0.051737088,0.058301215,Observed,BreastCancer,All,Both
0.032876712,0.054808289,0.051651681,0.058157808,Observed,BreastCancer,All,Both
0.035616438,0.054695637,0.051566339,0.058014837,Observed,BreastCancer,All,Both
0.038356164,0.054583218,0.051481062,0.057872303,Observed,BreastCancer,All,Both
0.04109589,0.054471029,0.051395849,0.057730208,Observed,BreastCancer,All,Both
0.043835616,0.054359071,0.051310697,0.05758855,Observed,BreastCancer,All,Both
0.046575342,0.054247343,0.051225605,0.057447331,Observed,BreastCancer,All,Both
0.049315068,0.054135845,0.051140571,0.05730655,Observed,BreastCancer,All,Both
0.052054795,0.054024576,0.051055595,0.057166209,Observed,BreastCancer,All,Both
0.054794521,0.053913536,0.050970674,0.057026307,Observed,BreastCancer,All,Both
0.057534247,0.053802724,0.050885808,0.056886845,Observed,BreastCancer,All,Both
0.060273973,0.053692139,0.050800993,0.056747824,Observed,BreastCancer,All,Both
0.063013699,0.053581782,0.050716229,0.056609244,Observed,BreastCancer,All,Both
0.065753425,0.053471652,0.050631514,0.056471105,Observed,BreastCancer,All,Both
0.068493151,0.053361748,0.050546846,0.056333409,Observed,BreastCancer,All,Both
