time,n.risk,n.event,n.censor,est,std.error,ucl,lcl,Method,Cancer,Age,Gender
0.00274,110705,12,49,0.99989,0.00003,0.99995,0.99983,Observed,BreastCancer,All,Both
0.00548,110644,10,7,0.9998,0.00004,0.99988,0.99972,Observed,BreastCancer,All,Both
0.00822,110627,14,13,0.99967,0.00005,0.99978,0.99957,Observed,BreastCancer,All,Both
0.01096,110600,13,27,0.99956,0.00006,0.99968,0.99943,Observed,BreastCancer,All,Both
0.0137,110560,16,29,0.99941,0.00007,0.99956,0.99927,Observed,BreastCancer,All,Both
0.01644,110515,12,21,0.9993,0.00008,0.99946,0.99915,Observed,BreastCancer,All,Both
0.01918,110482,18,15,0.99914,0.00009,0.99931,0.99897,Observed,BreastCancer,All,Both
0.02192,110449,27,22,0.9989,0.0001,0.99909,0.9987,Observed,BreastCancer,All,Both
0.02466,110400,18,7,0.99873,0.00011,0.99894,0.99852,Observed,BreastCancer,All,Both
0.0274,110375,22,9,0.99854,0.00012,0.99876,0.99831,Observed,BreastCancer,All,Both
0.03014,110344,13,48,0.99842,0.00012,0.99865,0.99818,Observed,BreastCancer,All,Both
0.03288,110283,10,54,0.99833,0.00012,0.99857,0.99809,Observed,BreastCancer,All,Both
0.03562,110219,25,64,0.9981,0.00013,0.99836,0.99784,Observed,BreastCancer,All,Both
0.03836,110130,16,53,0.99796,0.00014,0.99822,0.99769,Observed,BreastCancer,All,Both
0.0411,110061,20,51,0.99777,0.00014,0.99805,0.9975,Observed,BreastCancer,All,Both
0.04384,109990,18,9,0.99761,0.00015,0.9979,0.99732,Observed,BreastCancer,All,Both
0.04658,109963,19,11,0.99744,0.00015,0.99774,0.99714,Observed,BreastCancer,All,Both
0.04932,109933,18,45,0.99728,0.00016,0.99758,0.99697,Observed,BreastCancer,All,Both
0.05205,109870,16,51,0.99713,0.00016,0.99745,0.99681,Observed,BreastCancer,All,Both
0.05479,109803,18,52,0.99697,0.00017,0.99729,0.99664,Observed,BreastCancer,All,Both
0.05753,109733,20,54,0.99678,0.00017,0.99712,0.99645,Observed,BreastCancer,All,Both
0.06027,109659,18,53,0.99662,0.00018,0.99696,0.99628,Observed,BreastCancer,All,Both
0.06301,109588,15,7,0.99648,0.00018,0.99683,0.99614,Observed,BreastCancer,All,Both
0.06575,109566,20,12,0.9963,0.00018,0.99666,0.99594,Observed,BreastCancer,All,Both
0.06849,109534,23,54,0.99609,0.00019,0.99646,0.99573,Observed,BreastCancer,All,Both
0.07123,109457,15,46,0.99596,0.00019,0.99633,0.99558,Observed,BreastCancer,All,Both
0.07397,109396,21,55,0.99577,0.0002,0.99615,0.99538,Observed,BreastCancer,All,Both
0.07671,109320,17,40,0.99561,0.0002,0.996,0.99522,Observed,BreastCancer,All,Both
0.07945,109263,30,44,0.99534,0.00021,0.99574,0.99494,Observed,BreastCancer,All,Both
0.08219,109189,21,15,0.99515,0.00021,0.99556,0.99474,Observed,BreastCancer,All,Both
0.08493,109153,12,19,0.99504,0.00021,0.99545,0.99462,Observed,BreastCancer,All,Both
0.08767,109122,21,44,0.99485,0.00022,0.99527,0.99442,Observed,BreastCancer,All,Both
0.09041,109057,18,56,0.99468,0.00022,0.99511,0.99425,Observed,BreastCancer,All,Both
0.09315,108983,19,53,0.99451,0.00022,0.99494,0.99407,Observed,BreastCancer,All,Both
0.09589,108911,18,42,0.99434,0.00023,0.99479,0.9939,Observed,BreastCancer,All,Both
0.09863,108851,15,38,0.99421,0.00023,0.99465,0.99376,Observed,BreastCancer,All,Both
0.10137,108798,15,12,0.99407,0.00023,0.99452,0.99362,Observed,BreastCancer,All,Both
0.10411,108771,15,16,0.99393,0.00024,0.99439,0.99347,Observed,BreastCancer,All,Both
0.10685,108740,17,53,0.99378,0.00024,0.99424,0.99331,Observed,BreastCancer,All,Both
0.10959,108670,14,49,0.99365,0.00024,0.99412,0.99318,Observed,BreastCancer,All,Both
0.11233,108607,9,31,0.99357,0.00024,0.99404,0.99309,Observed,BreastCancer,All,Both
0.11507,108567,15,45,0.99343,0.00025,0.99391,0.99295,Observed,BreastCancer,All,Both
0.11781,108507,22,39,0.99323,0.00025,0.99371,0.99274,Observed,BreastCancer,All,Both
0.12055,108446,15,14,0.99309,0.00025,0.99358,0.9926,Observed,BreastCancer,All,Both
0.12329,108417,17,17,0.99293,0.00025,0.99343,0.99244,Observed,BreastCancer,All,Both
0.12603,108383,12,40,0.99282,0.00026,0.99332,0.99233,Observed,BreastCancer,All,Both
0.12877,108331,11,44,0.99272,0.00026,0.99323,0.99222,Observed,BreastCancer,All,Both
0.13151,108276,22,45,0.99252,0.00026,0.99303,0.99201,Observed,BreastCancer,All,Both
0.13425,108209,14,45,0.99239,0.00026,0.99291,0.99188,Observed,BreastCancer,All,Both
0.13699,108150,14,32,0.99227,0.00027,0.99278,0.99175,Observed,BreastCancer,All,Both
0.13973,108104,15,11,0.99213,0.00027,0.99265,0.99161,Observed,BreastCancer,All,Both
0.14247,108078,16,13,0.99198,0.00027,0.99251,0.99145,Observed,BreastCancer,All,Both
0.14521,108049,17,30,0.99182,0.00027,0.99236,0.99129,Observed,BreastCancer,All,Both
0.14795,108002,17,47,0.99167,0.00028,0.99221,0.99113,Observed,BreastCancer,All,Both
0.15068,107938,20,30,0.99148,0.00028,0.99203,0.99094,Observed,BreastCancer,All,Both
0.15342,107888,11,43,0.99138,0.00028,0.99193,0.99084,Observed,BreastCancer,All,Both
0.15616,107834,18,37,0.99122,0.00028,0.99177,0.99067,Observed,BreastCancer,All,Both
0.1589,107779,13,17,0.9911,0.00029,0.99165,0.99054,Observed,BreastCancer,All,Both
0.16164,107749,8,9,0.99103,0.00029,0.99158,0.99047,Observed,BreastCancer,All,Both
0.16438,107732,16,38,0.99088,0.00029,0.99144,0.99032,Observed,BreastCancer,All,Both
0.16712,107678,13,52,0.99076,0.00029,0.99132,0.99019,Observed,BreastCancer,All,Both
0.16986,107613,14,50,0.99063,0.00029,0.9912,0.99006,Observed,BreastCancer,All,Both
0.1726,107549,15,34,0.99049,0.0003,0.99107,0.98992,Observed,BreastCancer,All,Both
0.17534,107500,14,43,0.99036,0.0003,0.99094,0.98978,Observed,BreastCancer,All,Both
0.17808,107443,21,11,0.99017,0.0003,0.99075,0.98958,Observed,BreastCancer,All,Both
0.18082,107411,16,8,0.99002,0.0003,0.99061,0.98943,Observed,BreastCancer,All,Both
0.18356,107387,16,36,0.98987,0.00031,0.99047,0.98928,Observed,BreastCancer,All,Both
0.1863,107335,12,37,0.98976,0.00031,0.99036,0.98917,Observed,BreastCancer,All,Both
